review_id,restaurant_name,cuisine_type,city,rating,delivery_time_mins,order_value_inr,review_text,sentiment_label
ZR-0001,Wow Momo,Italian,Chennai,4,29,900.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0002,Fasoos,Continental,Bangalore,4,89,594.0,"Paneer butter masala was outstanding, naan was soft and fresh",Positive
ZR-0003,Mainland China,North Indian,Hyderabad,3,38,809.0,"Food was okay, nothing special but edible and delivery was on time",Neutral
ZR-0004,Barbeque Nation,Italian,Kolkata,1,44,318.0,"Quantity was extremely less for the price, felt cheated completely",Negative
ZR-0005,Haldirams,Chinese,Mumbai,2,35,772.0,"App showed 30 mins but took 2 hours, no update or apology given",Negative
ZR-0006,Rebel Foods,Fast Food,Hyderabad,4,63,668.0,"Fried rice was amazing, portions were huge and price was fair",Positive
ZR-0007,Paradise Biryani,Fast Food,Pune,4,74,490.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0008,Subway,South Indian,Jaipur,4,61,773.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0009,Box8,Italian,Pune,4,78,603.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0010,Wow Momo,South Indian,Chennai,5,21,271.0,"Best biryani I have ever ordered, rice was perfectly cooked and portions were generous",Positive
ZR-0011,Mandarin Oak,Fast Food,Jaipur,1,18,1135.0,"Packaging was broken, gravy spilled all over the bag, total mess",Negative
ZR-0012,Paradise Biryani,South Indian,Chennai,4,23,98.0,"Momos were steaming hot and chutney was perfect, great combo",Positive
ZR-0013,Barbeque Nation,Chinese,Hyderabad,3,74,217.0,"Got what I ordered, no issues with delivery, food was just okay",Neutral
ZR-0014,Fasoos,Fast Food,Hyderabad,4,61,274.0,"Burger was juicy and well assembled, fries were crispy not soggy",Positive
ZR-0015,Burger King,Continental,Pune,4,64,822.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0016,Social,Italian,Pune,3,20,313.0,"Average taste, expected better for the price but portion size was fine",Neutral
ZR-0017,Burger King,Chinese,Jaipur,4,77,1023.0,"Burger was juicy and well assembled, fries were crispy not soggy",Positive
ZR-0018,Saravana Bhavan,Continental,Chennai,4,88,1082.0,"Paneer butter masala was outstanding, naan was soft and fresh",Positive
ZR-0019,Box8,Mughlai,Delhi,4,62,446.0,"Burger was juicy and well assembled, fries were crispy not soggy",Positive
ZR-0020,Haldirams,Chinese,Delhi,4,76,444.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0021,The Beer Cafe,Mughlai,Kolkata,4,67,737.0,"South Indian combo was authentic, sambar and chutney were spot on",Positive
ZR-0022,Mainland China,South Indian,Mumbai,5,74,688.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0023,Pizza Hut,South Indian,Pune,2,29,265.0,"Never using Zomato again, third bad experience in a row this month",Negative
ZR-0024,The Beer Cafe,Biryani,Mumbai,1,23,945.0,"Dal was watery with no taste, roti was hard as a rock",Negative
ZR-0025,The Beer Cafe,Biryani,Bangalore,2,77,993.0,"Never using Zomato again, third bad experience in a row this month",Negative
ZR-0026,Mainland China,Chinese,Pune,5,49,965.0,"South Indian combo was authentic, sambar and chutney were spot on",Positive
ZR-0027,Social,Fast Food,Mumbai,4,55,1105.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0028,Wow Momo,Biryani,Pune,5,26,451.0,"Food was absolutely delicious, delivery was super fast and packaging was neat",Positive
ZR-0029,Social,South Indian,Bangalore,1,37,829.0,Delivery took over 90 minutes and food was stale when it arrived,Negative
ZR-0030,Social,Chinese,Delhi,5,58,794.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0031,Mainland China,Italian,Kolkata,5,79,509.0,"Sandwich was fresh and tasty, delivery was quick and contactless",Positive
ZR-0032,Subway,Biryani,Hyderabad,5,17,932.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0033,Rebel Foods,Mughlai,Jaipur,4,28,633.0,"Ordered for office lunch, entire team loved it, will order again",Positive
ZR-0034,Saravana Bhavan,North Indian,Pune,4,29,204.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0035,Box8,North Indian,Hyderabad,4,65,115.0,"Sandwich was fresh and tasty, delivery was quick and contactless",Positive
ZR-0036,Fasoos,South Indian,Hyderabad,4,66,711.0,"Prawns were fresh and gravy was perfectly spiced, excellent seafood",Positive
ZR-0037,Social,Biryani,Hyderabad,5,37,757.0,"Fried rice was amazing, portions were huge and price was fair",Positive
ZR-0038,Social,Italian,Jaipur,4,43,336.0,"Loved every bite, quantity was good and price was very reasonable",Positive
ZR-0039,Dominos,Continental,Bangalore,1,73,858.0,"Dal was watery with no taste, roti was hard as a rock",Negative
ZR-0040,Fasoos,South Indian,Mumbai,5,56,985.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0041,Chai Point,Italian,Bangalore,4,20,591.0,"Burger was juicy and well assembled, fries were crispy not soggy",Positive
ZR-0042,Mandarin Oak,Continental,Delhi,2,44,1069.0,"Quantity was extremely less for the price, felt cheated completely",Negative
ZR-0043,Mainland China,Mughlai,Bangalore,3,76,203.0,Taste was okay but a bit too salty for my preference,Neutral
ZR-0044,Wow Momo,South Indian,Mumbai,3,76,81.0,"Average taste, expected better for the price but portion size was fine",Negative
